season,round,circuit_id,lat,long,country,date,start_time,url
2000,13,spa,50.4372,5.97139,Belgium,2000-08-27,,http://en.wikipedia.org/wiki/2000_Belgian_Grand_Prix
2000,14,monza,45.6156,9.28111,Italy,2000-09-10,,http://en.wikipedia.org/wiki/2000_Italian_Grand_Prix
2000,15,indianapolis,39.795,-86.2347,USA,2000-09-24,,http://en.wikipedia.org/wiki/2000_United_States_Grand_Prix
2000,16,suzuka,34.8431,136.541,Japan,2000-10-08,,http://en.wikipedia.org/wiki/2000_Japanese_Grand_Prix
2000,17,sepang,2.76083,101.738,Malaysia,2000-10-22,,http://en.wikipedia.org/wiki/2000_Malaysian_Grand_Prix
2001,1,albert_park,-37.8497,144.968,Australia,2001-03-04,,http://en.wikipedia.org/wiki/2001_Australian_Grand_Prix
2001,2,sepang,2.76083,101.738,Malaysia,2001-03-18,,http://en.wikipedia.org/wiki/2001_Malaysian_Grand_Prix
2001,3,interlagos,-23.7036,-46.6997,Brazil,2001-04-01,,http://en.wikipedia.org/wiki/2001_Brazilian_Grand_Prix
2001,4,imola,44.3439,11.7167,Italy,2001-04-15,,http://en.wikipedia.org/wiki/2001_San_Marino_Grand_Prix
2001,5,catalunya,41.57,2.26111,Spain,2001-04-29,,http://en.wikipedia.org/wiki/2001_Spanish_Grand_Prix
2001,6,red_bull_ring,47.2197,14.7647,Austria,2001-05-13,,http://en.wikipedia.org/wiki/2001_Austrian_Grand_Prix
2001,7,monaco,43.7347,7.42056,Monaco,2001-05-27,,http://en.wikipedia.org/wiki/2001_Monaco_Grand_Prix
2001,8,villeneuve,45.5,-73.5228,Canada,2001-06-10,,http://en.wikipedia.org/wiki/2001_Canadian_Grand_Prix
2001,9,nurburgring,50.3356,6.9475,Germany,2001-06-24,,http://en.wikipedia.org/wiki/2001_European_Grand_Prix
2001,10,magny_cours,46.8642,3.16361,France,2001-07-01,,http://en.wikipedia.org/wiki/2001_French_Grand_Prix
2001,11,silverstone,52.0786,-1.01694,UK,2001-07-15,,http://en.wikipedia.org/wiki/2001_British_Grand_Prix
2001,12,hockenheimring,49.3278,8.56583,Germany,2001-07-29,,http://en.wikipedia.org/wiki/2001_German_Grand_Prix
2001,13,hungaroring,47.5789,19.2486,Hungary,2001-08-19,,http://en.wikipedia.org/wiki/2001_Hungarian_Grand_Prix
2001,14,spa,50.4372,5.97139,Belgium,2001-09-02,,http://en.wikipedia.org/wiki/2001_Belgian_Grand_Prix
2001,15,monza,45.6156,9.28111,Italy,2001-09-16,,http://en.wikipedia.org/wiki/2001_Italian_Grand_Prix
2001,16,indianapolis,39.795,-86.2347,USA,2001-09-30,,http://en.wikipedia.org/wiki/2001_United_States_Grand_Prix
2001,17,suzuka,34.8431,136.541,Japan,2001-10-14,,http://en.wikipedia.org/wiki/2001_Japanese_Grand_Prix
2002,1,albert_park,-37.8497,144.968,Australia,2002-03-03,,http://en.wikipedia.org/wiki/2002_Australian_Grand_Prix
2002,2,sepang,2.76083,101.738,Malaysia,2002-03-17,,http://en.wikipedia.org/wiki/2002_Malaysian_Grand_Prix
2002,3,interlagos,-23.7036,-46.6997,Brazil,2002-03-31,,http://en.wikipedia.org/wiki/2002_Brazilian_Grand_Prix
2002,4,imola,44.3439,11.7167,Italy,2002-04-14,,http://en.wikipedia.org/wiki/2002_San_Marino_Grand_Prix
2002,5,catalunya,41.57,2.26111,Spain,2002-04-28,,http://en.wikipedia.org/wiki/2002_Spanish_Grand_Prix
2002,6,red_bull_ring,47.2197,14.7647,Austria,2002-05-12,,http://en.wikipedia.org/wiki/2002_Austrian_Grand_Prix
2002,7,monaco,43.7347,7.42056,Monaco,2002-05-26,,http://en.wikipedia.org/wiki/2002_Monaco_Grand_Prix
2002,8,villeneuve,45.5,-73.5228,Canada,2002-06-09,,http://en.wikipedia.org/wiki/2002_Canadian_Grand_Prix
2002,9,nurburgring,50.3356,6.9475,Germany,2002-06-23,,http://en.wikipedia.org/wiki/2002_European_Grand_Prix
2002,10,silverstone,52.0786,-1.01694,UK,2002-07-07,,http://en.wikipedia.org/wiki/2002_British_Grand_Prix
2002,11,magny_cours,46.8642,3.16361,France,2002-07-21,,http://en.wikipedia.org/wiki/2002_French_Grand_Prix
2002,12,hockenheimring,49.3278,8.56583,Germany,2002-07-28,,http://en.wikipedia.org/wiki/2002_German_Grand_Prix
2002,13,hungaroring,47.5789,19.2486,Hungary,2002-08-18,,http://en.wikipedia.org/wiki/2002_Hungarian_Grand_Prix
2002,14,spa,50.4372,5.97139,Belgium,2002-09-01,,http://en.wikipedia.org/wiki/2002_Belgian_Grand_Prix
2002,15,monza,45.6156,9.28111,Italy,2002-09-15,,http://en.wikipedia.org/wiki/2002_Italian_Grand_Prix
2002,16,indianapolis,39.795,-86.2347,USA,2002-09-29,,http://en.wikipedia.org/wiki/2002_United_States_Grand_Prix
2002,17,suzuka,34.8431,136.541,Japan,2002-10-13,,http://en.wikipedia.org/wiki/2002_Japanese_Grand_Prix
2003,1,albert_park,-37.8497,144.968,Australia,2003-03-09,,http://en.wikipedia.org/wiki/2003_Australian_Grand_Prix
2003,2,sepang,2.76083,101.738,Malaysia,2003-03-23,,http://en.wikipedia.org/wiki/2003_Malaysian_Grand_Prix
2003,3,interlagos,-23.7036,-46.6997,Brazil,2003-04-06,,http://en.wikipedia.org/wiki/2003_Brazilian_Grand_Prix
2003,4,imola,44.3439,11.7167,Italy,2003-04-20,,http://en.wikipedia.org/wiki/2003_San_Marino_Grand_Prix
2003,5,catalunya,41.57,2.26111,Spain,2003-05-04,,http://en.wikipedia.org/wiki/2003_Spanish_Grand_Prix
2003,6,red_bull_ring,47.2197,14.7647,Austria,2003-05-18,,http://en.wikipedia.org/wiki/2003_Austrian_Grand_Prix
2003,7,monaco,43.7347,7.42056,Monaco,2003-06-01,,http://en.wikipedia.org/wiki/2003_Monaco_Grand_Prix
2003,8,villeneuve,45.5,-73.5228,Canada,2003-06-15,,http://en.wikipedia.org/wiki/2003_Canadian_Grand_Prix
2003,9,nurburgring,50.3356,6.9475,Germany,2003-06-29,,http://en.wikipedia.org/wiki/2003_European_Grand_Prix
2003,10,magny_cours,46.8642,3.16361,France,2003-07-06,,http://en.wikipedia.org/wiki/2003_French_Grand_Prix
2003,11,silverstone,52.0786,-1.01694,UK,2003-07-20,,http://en.wikipedia.org/wiki/2003_British_Grand_Prix
2003,12,hockenheimring,49.3278,8.56583,Germany,2003-08-03,,http://en.wikipedia.org/wiki/2003_German_Grand_Prix
2003,13,hungaroring,47.5789,19.2486,Hungary,2003-08-24,,http://en.wikipedia.org/wiki/2003_Hungarian_Grand_Prix
2003,14,monza,45.6156,9.28111,Italy,2003-09-14,,http://en.wikipedia.org/wiki/2003_Italian_Grand_Prix
2003,15,indianapolis,39.795,-86.2347,USA,2003-09-28,,http://en.wikipedia.org/wiki/2003_United_States_Grand_Prix
2003,16,suzuka,34.8431,136.541,Japan,2003-10-12,,http://en.wikipedia.org/wiki/2003_Japanese_Grand_Prix
2004,1,albert_park,-37.8497,144.968,Australia,2004-03-07,,http://en.wikipedia.org/wiki/2004_Australian_Grand_Prix
2004,2,sepang,2.76083,101.738,Malaysia,2004-03-21,,http://en.wikipedia.org/wiki/2004_Malaysian_Grand_Prix
2004,3,bahrain,26.0325,50.5106,Bahrain,2004-04-04,,http://en.wikipedia.org/wiki/2004_Bahrain_Grand_Prix
2004,4,imola,44.3439,11.7167,Italy,2004-04-25,,http://en.wikipedia.org/wiki/2004_San_Marino_Grand_Prix
2004,5,catalunya,41.57,2.26111,Spain,2004-05-09,,http://en.wikipedia.org/wiki/2004_Spanish_Grand_Prix
2004,6,monaco,43.7347,7.42056,Monaco,2004-05-23,,http://en.wikipedia.org/wiki/2004_Monaco_Grand_Prix
2004,7,nurburgring,50.3356,6.9475,Germany,2004-05-30,,http://en.wikipedia.org/wiki/2004_European_Grand_Prix
2004,8,villeneuve,45.5,-73.5228,Canada,2004-06-13,,http://en.wikipedia.org/wiki/2004_Canadian_Grand_Prix
2004,9,indianapolis,39.795,-86.2347,USA,2004-06-20,,http://en.wikipedia.org/wiki/2004_United_States_Grand_Prix
2004,10,magny_cours,46.8642,3.16361,France,2004-07-04,,http://en.wikipedia.org/wiki/2004_French_Grand_Prix
2004,11,silverstone,52.0786,-1.01694,UK,2004-07-11,,http://en.wikipedia.org/wiki/2004_British_Grand_Prix
2004,12,hockenheimring,49.3278,8.56583,Germany,2004-07-25,,http://en.wikipedia.org/wiki/2004_German_Grand_Prix
2004,13,hungaroring,47.5789,19.2486,Hungary,2004-08-15,,http://en.wikipedia.org/wiki/2004_Hungarian_Grand_Prix
2004,14,spa,50.4372,5.97139,Belgium,2004-08-29,,http://en.wikipedia.org/wiki/2004_Belgian_Grand_Prix
2004,15,monza,45.6156,9.28111,Italy,2004-09-12,,http://en.wikipedia.org/wiki/2004_Italian_Grand_Prix
2004,16,shanghai,31.3389,121.22,China,2004-09-26,,http://en.wikipedia.org/wiki/2004_Chinese_Grand_Prix
2004,17,suzuka,34.8431,136.541,Japan,2004-10-10,,http://en.wikipedia.org/wiki/2004_Japanese_Grand_Prix
2004,18,interlagos,-23.7036,-46.6997,Brazil,2004-10-24,,http://en.wikipedia.org/wiki/2004_Brazilian_Grand_Prix
2005,1,albert_park,-37.8497,144.968,Australia,2005-03-06,14:00:00Z,http://en.wikipedia.org/wiki/2005_Australian_Grand_Prix
2005,2,sepang,2.76083,101.738,Malaysia,2005-03-20,15:00:00Z,http://en.wikipedia.org/wiki/2005_Malaysian_Grand_Prix
2005,3,bahrain,26.0325,50.5106,Bahrain,2005-04-03,14:30:00Z,http://en.wikipedia.org/wiki/2005_Bahrain_Grand_Prix
2005,4,imola,44.3439,11.7167,Italy,2005-04-24,14:00:00Z,http://en.wikipedia.org/wiki/2005_San_Marino_Grand_Prix
2005,5,catalunya,41.57,2.26111,Spain,2005-05-08,14:00:00Z,http://en.wikipedia.org/wiki/2005_Spanish_Grand_Prix
2005,6,monaco,43.7347,7.42056,Monaco,2005-05-22,14:00:00Z,http://en.wikipedia.org/wiki/2005_Monaco_Grand_Prix
2005,7,nurburgring,50.3356,6.9475,Germany,2005-05-29,14:00:00Z,http://en.wikipedia.org/wiki/2005_European_Grand_Prix
2005,8,villeneuve,45.5,-73.5228,Canada,2005-06-12,13:00:00Z,http://en.wikipedia.org/wiki/2005_Canadian_Grand_Prix
2005,9,indianapolis,39.795,-86.2347,USA,2005-06-19,14:00:00Z,http://en.wikipedia.org/wiki/2005_United_States_Grand_Prix
2005,10,magny_cours,46.8642,3.16361,France,2005-07-03,14:00:00Z,http://en.wikipedia.org/wiki/2005_French_Grand_Prix
2005,11,silverstone,52.0786,-1.01694,UK,2005-07-10,14:00:00Z,http://en.wikipedia.org/wiki/2005_British_Grand_Prix
2005,12,hockenheimring,49.3278,8.56583,Germany,2005-07-24,14:00:00Z,http://en.wikipedia.org/wiki/2005_German_Grand_Prix
2005,13,hungaroring,47.5789,19.2486,Hungary,2005-07-31,14:00:00Z,http://en.wikipedia.org/wiki/2005_Hungarian_Grand_Prix
2005,14,istanbul,40.9517,29.405,Turkey,2005-08-21,15:00:00Z,http://en.wikipedia.org/wiki/2005_Turkish_Grand_Prix
2005,15,monza,45.6156,9.28111,Italy,2005-09-04,14:00:00Z,http://en.wikipedia.org/wiki/2005_Italian_Grand_Prix
2005,16,spa,50.4372,5.97139,Belgium,2005-09-11,14:00:00Z,http://en.wikipedia.org/wiki/2005_Belgian_Grand_Prix
2005,17,interlagos,-23.7036,-46.6997,Brazil,2005-09-25,14:00:00Z,http://en.wikipedia.org/wiki/2005_Brazilian_Grand_Prix
2005,18,suzuka,34.8431,136.541,Japan,2005-10-09,14:00:00Z,http://en.wikipedia.org/wiki/2005_Japanese_Grand_Prix
2005,19,shanghai,31.3389,121.22,China,2005-10-16,14:00:00Z,http://en.wikipedia.org/wiki/2005_Chinese_Grand_Prix
2006,1,bahrain,26.0325,50.5106,Bahrain,2006-03-12,14:30:00Z,http://en.wikipedia.org/wiki/2006_Bahrain_Grand_Prix
2006,2,sepang,2.76083,101.738,Malaysia,2006-03-19,15:00:00Z,http://en.wikipedia.org/wiki/2006_Malaysian_Grand_Prix
2006,3,albert_park,-37.8497,144.968,Australia,2006-04-02,14:00:00Z,http://en.wikipedia.org/wiki/2006_Australian_Grand_Prix
2006,4,imola,44.3439,11.7167,Italy,2006-04-23,14:00:00Z,http://en.wikipedia.org/wiki/2006_San_Marino_Grand_Prix
2006,5,nurburgring,50.3356,6.9475,Germany,2006-05-07,14:00:00Z,http://en.wikipedia.org/wiki/2006_European_Grand_Prix
2006,6,catalunya,41.57,2.26111,Spain,2006-05-14,14:00:00Z,http://en.wikipedia.org/wiki/2006_Spanish_Grand_Prix
2006,7,monaco,43.7347,7.42056,Monaco,2006-05-28,14:00:00Z,http://en.wikipedia.org/wiki/2006_Monaco_Grand_Prix
2006,8,silverstone,52.0786,-1.01694,UK,2006-06-11,12:00:00Z,http://en.wikipedia.org/wiki/2006_British_Grand_Prix
2006,9,villeneuve,45.5,-73.5228,Canada,2006-06-25,13:00:00Z,http://en.wikipedia.org/wiki/2006_Canadian_Grand_Prix
2006,10,indianapolis,39.795,-86.2347,USA,2006-07-02,14:00:00Z,http://en.wikipedia.org/wiki/2006_United_States_Grand_Prix
2006,11,magny_cours,46.8642,3.16361,France,2006-07-16,14:00:00Z,http://en.wikipedia.org/wiki/2006_French_Grand_Prix
2006,12,hockenheimring,49.3278,8.56583,Germany,2006-07-30,14:00:00Z,http://en.wikipedia.org/wiki/2006_German_Grand_Prix
2006,13,hungaroring,47.5789,19.2486,Hungary,2006-08-06,14:00:00Z,http://en.wikipedia.org/wiki/2006_Hungarian_Grand_Prix
2006,14,istanbul,40.9517,29.405,Turkey,2006-08-27,15:00:00Z,http://en.wikipedia.org/wiki/2006_Turkish_Grand_Prix
2006,15,monza,45.6156,9.28111,Italy,2006-09-10,14:00:00Z,http://en.wikipedia.org/wiki/2006_Italian_Grand_Prix
2006,16,shanghai,31.3389,121.22,China,2006-10-01,14:00:00Z,http://en.wikipedia.org/wiki/2006_Chinese_Grand_Prix
2006,17,suzuka,34.8431,136.541,Japan,2006-10-08,14:00:00Z,http://en.wikipedia.org/wiki/2006_Japanese_Grand_Prix
2006,18,interlagos,-23.7036,-46.6997,Brazil,2006-10-22,14:00:00Z,http://en.wikipedia.org/wiki/2006_Brazilian_Grand_Prix
2007,1,albert_park,-37.8497,144.968,Australia,2007-03-18,03:00:00Z,http://en.wikipedia.org/wiki/2007_Australian_Grand_Prix
2007,2,sepang,2.76083,101.738,Malaysia,2007-04-08,07:00:00Z,http://en.wikipedia.org/wiki/2007_Malaysian_Grand_Prix
2007,3,bahrain,26.0325,50.5106,Bahrain,2007-04-15,11:30:00Z,http://en.wikipedia.org/wiki/2007_Bahrain_Grand_Prix
2007,4,catalunya,41.57,2.26111,Spain,2007-05-13,12:00:00Z,http://en.wikipedia.org/wiki/2007_Spanish_Grand_Prix
2007,5,monaco,43.7347,7.42056,Monaco,2007-05-27,12:00:00Z,http://en.wikipedia.org/wiki/2007_Monaco_Grand_Prix
2007,6,villeneuve,45.5,-73.5228,Canada,2007-06-10,17:00:00Z,http://en.wikipedia.org/wiki/2007_Canadian_Grand_Prix
2007,7,indianapolis,39.795,-86.2347,USA,2007-06-17,17:00:00Z,http://en.wikipedia.org/wiki/2007_United_States_Grand_Prix
2007,8,magny_cours,46.8642,3.16361,France,2007-07-01,12:00:00Z,http://en.wikipedia.org/wiki/2007_French_Grand_Prix
2007,9,silverstone,52.0786,-1.01694,UK,2007-07-08,12:00:00Z,http://en.wikipedia.org/wiki/2007_British_Grand_Prix
2007,10,nurburgring,50.3356,6.9475,Germany,2007-07-22,12:00:00Z,http://en.wikipedia.org/wiki/2007_European_Grand_Prix
2007,11,hungaroring,47.5789,19.2486,Hungary,2007-08-05,12:00:00Z,http://en.wikipedia.org/wiki/2007_Hungarian_Grand_Prix
2007,12,istanbul,40.9517,29.405,Turkey,2007-08-26,12:00:00Z,http://en.wikipedia.org/wiki/2007_Turkish_Grand_Prix
2007,13,monza,45.6156,9.28111,Italy,2007-09-09,12:00:00Z,http://en.wikipedia.org/wiki/2007_Italian_Grand_Prix
2007,14,spa,50.4372,5.97139,Belgium,2007-09-16,12:00:00Z,http://en.wikipedia.org/wiki/2007_Belgian_Grand_Prix
2007,15,fuji,35.3717,138.927,Japan,2007-09-30,04:30:00Z,http://en.wikipedia.org/wiki/2007_Japanese_Grand_Prix
2007,16,shanghai,31.3389,121.22,China,2007-10-07,06:00:00Z,http://en.wikipedia.org/wiki/2007_Chinese_Grand_Prix
2007,17,interlagos,-23.7036,-46.6997,Brazil,2007-10-21,16:00:00Z,http://en.wikipedia.org/wiki/2007_Brazilian_Grand_Prix
2008,1,albert_park,-37.8497,144.968,Australia,2008-03-16,04:30:00Z,http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix
2008,2,sepang,2.76083,101.738,Malaysia,2008-03-23,07:00:00Z,http://en.wikipedia.org/wiki/2008_Malaysian_Grand_Prix
2008,3,bahrain,26.0325,50.5106,Bahrain,2008-04-06,11:30:00Z,http://en.wikipedia.org/wiki/2008_Bahrain_Grand_Prix
2008,4,catalunya,41.57,2.26111,Spain,2008-04-27,12:00:00Z,http://en.wikipedia.org/wiki/2008_Spanish_Grand_Prix
2008,5,istanbul,40.9517,29.405,Turkey,2008-05-11,12:00:00Z,http://en.wikipedia.org/wiki/2008_Turkish_Grand_Prix
2008,6,monaco,43.7347,7.42056,Monaco,2008-05-25,12:00:00Z,http://en.wikipedia.org/wiki/2008_Monaco_Grand_Prix
2008,7,villeneuve,45.5,-73.5228,Canada,2008-06-08,17:00:00Z,http://en.wikipedia.org/wiki/2008_Canadian_Grand_Prix
2008,8,magny_cours,46.8642,3.16361,France,2008-06-22,12:00:00Z,http://en.wikipedia.org/wiki/2008_French_Grand_Prix
2008,9,silverstone,52.0786,-1.01694,UK,2008-07-06,12:00:00Z,http://en.wikipedia.org/wiki/2008_British_Grand_Prix
2008,10,hockenheimring,49.3278,8.56583,Germany,2008-07-20,12:00:00Z,http://en.wikipedia.org/wiki/2008_German_Grand_Prix
2008,11,hungaroring,47.5789,19.2486,Hungary,2008-08-03,12:00:00Z,http://en.wikipedia.org/wiki/2008_Hungarian_Grand_Prix
2008,12,valencia,39.4589,-0.331667,Spain,2008-08-24,12:00:00Z,http://en.wikipedia.org/wiki/2008_European_Grand_Prix
2008,13,spa,50.4372,5.97139,Belgium,2008-09-07,12:00:00Z,http://en.wikipedia.org/wiki/2008_Belgian_Grand_Prix
2008,14,monza,45.6156,9.28111,Italy,2008-09-14,12:00:00Z,http://en.wikipedia.org/wiki/2008_Italian_Grand_Prix
2008,15,marina_bay,1.2914,103.864,Singapore,2008-09-28,12:00:00Z,http://en.wikipedia.org/wiki/2008_Singapore_Grand_Prix
2008,16,fuji,35.3717,138.927,Japan,2008-10-12,04:30:00Z,http://en.wikipedia.org/wiki/2008_Japanese_Grand_Prix
2008,17,shanghai,31.3389,121.22,China,2008-10-19,07:00:00Z,http://en.wikipedia.org/wiki/2008_Chinese_Grand_Prix
2008,18,interlagos,-23.7036,-46.6997,Brazil,2008-11-02,17:00:00Z,http://en.wikipedia.org/wiki/2008_Brazilian_Grand_Prix
2009,1,albert_park,-37.8497,144.968,Australia,2009-03-29,06:00:00Z,http://en.wikipedia.org/wiki/2009_Australian_Grand_Prix
2009,2,sepang,2.76083,101.738,Malaysia,2009-04-05,09:00:00Z,http://en.wikipedia.org/wiki/2009_Malaysian_Grand_Prix
2009,3,shanghai,31.3389,121.22,China,2009-04-19,07:00:00Z,http://en.wikipedia.org/wiki/2009_Chinese_Grand_Prix
2009,4,bahrain,26.0325,50.5106,Bahrain,2009-04-26,12:00:00Z,http://en.wikipedia.org/wiki/2009_Bahrain_Grand_Prix
2009,5,catalunya,41.57,2.26111,Spain,2009-05-10,12:00:00Z,http://en.wikipedia.org/wiki/2009_Spanish_Grand_Prix
2009,6,monaco,43.7347,7.42056,Monaco,2009-05-24,12:00:00Z,http://en.wikipedia.org/wiki/2009_Monaco_Grand_Prix
2009,7,istanbul,40.9517,29.405,Turkey,2009-06-07,12:00:00Z,http://en.wikipedia.org/wiki/2009_Turkish_Grand_Prix
2009,8,silverstone,52.0786,-1.01694,UK,2009-06-21,12:00:00Z,http://en.wikipedia.org/wiki/2009_British_Grand_Prix
2009,9,nurburgring,50.3356,6.9475,Germany,2009-07-12,12:00:00Z,http://en.wikipedia.org/wiki/2009_German_Grand_Prix
2009,10,hungaroring,47.5789,19.2486,Hungary,2009-07-26,12:00:00Z,http://en.wikipedia.org/wiki/2009_Hungarian_Grand_Prix
2009,11,valencia,39.4589,-0.331667,Spain,2009-08-23,12:00:00Z,http://en.wikipedia.org/wiki/2009_European_Grand_Prix
2009,12,spa,50.4372,5.97139,Belgium,2009-08-30,12:00:00Z,http://en.wikipedia.org/wiki/2009_Belgian_Grand_Prix
2009,13,monza,45.6156,9.28111,Italy,2009-09-13,12:00:00Z,http://en.wikipedia.org/wiki/2009_Italian_Grand_Prix
2009,14,marina_bay,1.2914,103.864,Singapore,2009-09-27,12:00:00Z,http://en.wikipedia.org/wiki/2009_Singapore_Grand_Prix
2009,15,suzuka,34.8431,136.541,Japan,2009-10-04,05:00:00Z,http://en.wikipedia.org/wiki/2009_Japanese_Grand_Prix
2009,16,interlagos,-23.7036,-46.6997,Brazil,2009-10-18,16:00:00Z,http://en.wikipedia.org/wiki/2009_Brazilian_Grand_Prix
2009,17,yas_marina,24.4672,54.6031,UAE,2009-11-01,11:00:00Z,http://en.wikipedia.org/wiki/2009_Abu_Dhabi_Grand_Prix
2010,1,bahrain,26.0325,50.5106,Bahrain,2010-03-14,12:00:00Z,http://en.wikipedia.org/wiki/2010_Bahrain_Grand_Prix
2010,2,albert_park,-37.8497,144.968,Australia,2010-03-28,06:00:00Z,http://en.wikipedia.org/wiki/2010_Australian_Grand_Prix
2010,3,sepang,2.76083,101.738,Malaysia,2010-04-04,08:00:00Z,http://en.wikipedia.org/wiki/2010_Malaysian_Grand_Prix
2010,4,shanghai,31.3389,121.22,China,2010-04-18,06:00:00Z,http://en.wikipedia.org/wiki/2010_Chinese_Grand_Prix
2010,5,catalunya,41.57,2.26111,Spain,2010-05-09,12:00:00Z,http://en.wikipedia.org/wiki/2010_Spanish_Grand_Prix
2010,6,monaco,43.7347,7.42056,Monaco,2010-05-16,12:00:00Z,http://en.wikipedia.org/wiki/2010_Monaco_Grand_Prix
2010,7,istanbul,40.9517,29.405,Turkey,2010-05-30,11:00:00Z,http://en.wikipedia.org/wiki/2010_Turkish_Grand_Prix
2010,8,villeneuve,45.5,-73.5228,Canada,2010-06-13,16:00:00Z,http://en.wikipedia.org/wiki/2010_Canadian_Grand_Prix
2010,9,valencia,39.4589,-0.331667,Spain,2010-06-27,12:00:00Z,http://en.wikipedia.org/wiki/2010_European_Grand_Prix
2010,10,silverstone,52.0786,-1.01694,UK,2010-07-11,12:00:00Z,http://en.wikipedia.org/wiki/2010_British_Grand_Prix
2010,11,hockenheimring,49.3278,8.56583,Germany,2010-07-25,12:00:00Z,http://en.wikipedia.org/wiki/2010_German_Grand_Prix
2010,12,hungaroring,47.5789,19.2486,Hungary,2010-08-01,12:00:00Z,http://en.wikipedia.org/wiki/2010_Hungarian_Grand_Prix
2010,13,spa,50.4372,5.97139,Belgium,2010-08-29,12:00:00Z,http://en.wikipedia.org/wiki/2010_Belgian_Grand_Prix
2010,14,monza,45.6156,9.28111,Italy,2010-09-12,12:00:00Z,http://en.wikipedia.org/wiki/2010_Italian_Grand_Prix
2010,15,marina_bay,1.2914,103.864,Singapore,2010-09-26,12:00:00Z,http://en.wikipedia.org/wiki/2010_Singapore_Grand_Prix
2010,16,suzuka,34.8431,136.541,Japan,2010-10-10,06:00:00Z,http://en.wikipedia.org/wiki/2010_Japanese_Grand_Prix
2010,17,yeongam,34.7333,126.417,Korea,2010-10-24,05:00:00Z,http://en.wikipedia.org/wiki/2010_Korean_Grand_Prix
2010,18,interlagos,-23.7036,-46.6997,Brazil,2010-11-07,16:00:00Z,http://en.wikipedia.org/wiki/2010_Brazilian_Grand_Prix
2010,19,yas_marina,24.4672,54.6031,UAE,2010-11-14,13:00:00Z,http://en.wikipedia.org/wiki/2010_Abu_Dhabi_Grand_Prix
2011,1,albert_park,-37.8497,144.968,Australia,2011-03-27,06:00:00Z,http://en.wikipedia.org/wiki/2011_Australian_Grand_Prix
2011,2,sepang,2.76083,101.738,Malaysia,2011-04-10,08:00:00Z,http://en.wikipedia.org/wiki/2011_Malaysian_Grand_Prix
2011,3,shanghai,31.3389,121.22,China,2011-04-17,07:00:00Z,http://en.wikipedia.org/wiki/2011_Chinese_Grand_Prix
2011,4,istanbul,40.9517,29.405,Turkey,2011-05-08,12:00:00Z,http://en.wikipedia.org/wiki/2011_Turkish_Grand_Prix
2011,5,catalunya,41.57,2.26111,Spain,2011-05-22,12:00:00Z,http://en.wikipedia.org/wiki/2011_Spanish_Grand_Prix
2011,6,monaco,43.7347,7.42056,Monaco,2011-05-29,12:00:00Z,http://en.wikipedia.org/wiki/2011_Monaco_Grand_Prix
2011,7,villeneuve,45.5,-73.5228,Canada,2011-06-12,17:00:00Z,http://en.wikipedia.org/wiki/2011_Canadian_Grand_Prix
2011,8,valencia,39.4589,-0.331667,Spain,2011-06-26,12:00:00Z,http://en.wikipedia.org/wiki/2011_European_Grand_Prix
2011,9,silverstone,52.0786,-1.01694,UK,2011-07-10,12:00:00Z,http://en.wikipedia.org/wiki/2011_British_Grand_Prix
2011,10,nurburgring,50.3356,6.9475,Germany,2011-07-24,12:00:00Z,http://en.wikipedia.org/wiki/2011_German_Grand_Prix
2011,11,hungaroring,47.5789,19.2486,Hungary,2011-07-31,12:00:00Z,http://en.wikipedia.org/wiki/2011_Hungarian_Grand_Prix
2011,12,spa,50.4372,5.97139,Belgium,2011-08-28,12:00:00Z,http://en.wikipedia.org/wiki/2011_Belgian_Grand_Prix
2011,13,monza,45.6156,9.28111,Italy,2011-09-11,12:00:00Z,http://en.wikipedia.org/wiki/2011_Italian_Grand_Prix
2011,14,marina_bay,1.2914,103.864,Singapore,2011-09-25,12:00:00Z,http://en.wikipedia.org/wiki/2011_Singapore_Grand_Prix
2011,15,suzuka,34.8431,136.541,Japan,2011-10-09,06:00:00Z,http://en.wikipedia.org/wiki/2011_Japanese_Grand_Prix
2011,16,yeongam,34.7333,126.417,Korea,2011-10-16,06:00:00Z,http://en.wikipedia.org/wiki/2011_Korean_Grand_Prix
2011,17,buddh,28.3487,77.5331,India,2011-10-30,09:30:00Z,http://en.wikipedia.org/wiki/2011_Indian_Grand_Prix
2011,18,yas_marina,24.4672,54.6031,UAE,2011-11-13,13:00:00Z,http://en.wikipedia.org/wiki/2011_Abu_Dhabi_Grand_Prix
2011,19,interlagos,-23.7036,-46.6997,Brazil,2011-11-27,16:00:00Z,http://en.wikipedia.org/wiki/2011_Brazilian_Grand_Prix
2012,1,albert_park,-37.8497,144.968,Australia,2012-03-18,06:00:00Z,http://en.wikipedia.org/wiki/2012_Australian_Grand_Prix
2012,2,sepang,2.76083,101.738,Malaysia,2012-03-25,08:00:00Z,http://en.wikipedia.org/wiki/2012_Malaysian_Grand_Prix
2012,3,shanghai,31.3389,121.22,China,2012-04-15,07:00:00Z,http://en.wikipedia.org/wiki/2012_Chinese_Grand_Prix
2012,4,bahrain,26.0325,50.5106,Bahrain,2012-04-22,12:00:00Z,http://en.wikipedia.org/wiki/2012_Bahrain_Grand_Prix
2012,5,catalunya,41.57,2.26111,Spain,2012-05-13,12:00:00Z,http://en.wikipedia.org/wiki/2012_Spanish_Grand_Prix
